Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,171,9,Some Random Commen with Id 0
1,0,2,39,0,Some Random Commen with Id 1
2,0,2,4,5,Some Random Commen with Id 2
3,0,2,64,7,Some Random Commen with Id 3
4,0,2,195,9,Some Random Commen with Id 4
5,0,2,131,2,Some Random Commen with Id 5
6,0,2,6,7,Some Random Commen with Id 6
7,0,2,118,4,Some Random Commen with Id 7
8,0,2,119,5,Some Random Commen with Id 8
9,3,2,61,2,Some Random Commen with Id 9
10,3,2,40,8,Some Random Commen with Id 10
11,3,2,104,4,Some Random Commen with Id 11
12,3,2,16,7,Some Random Commen with Id 12
13,3,2,44,1,Some Random Commen with Id 13
14,3,2,149,7,Some Random Commen with Id 14
15,3,2,108,5,Some Random Commen with Id 15
16,4,0,189,5,Some Random Commen with Id 16
17,5,5,67,7,Some Random Commen with Id 17
18,6,2,3,5,Some Random Commen with Id 18
19,6,2,61,7,Some Random Commen with Id 19
20,6,2,195,1,Some Random Commen with Id 20
21,7,5,57,0,Some Random Commen with Id 21
22,7,5,9,6,Some Random Commen with Id 22
23,7,5,7,8,Some Random Commen with Id 23
24,8,9,88,3,Some Random Commen with Id 24
25,8,9,2,9,Some Random Commen with Id 25
26,8,9,58,6,Some Random Commen with Id 26
27,8,9,74,9,Some Random Commen with Id 27
28,8,9,32,0,Some Random Commen with Id 28
29,9,1,26,5,Some Random Commen with Id 29
30,10,2,147,6,Some Random Commen with Id 30
31,10,2,117,5,Some Random Commen with Id 31
32,10,2,199,8,Some Random Commen with Id 32
33,10,2,49,1,Some Random Commen with Id 33
34,10,2,183,9,Some Random Commen with Id 34
35,10,2,89,7,Some Random Commen with Id 35
36,10,2,178,6,Some Random Commen with Id 36
37,11,7,74,0,Some Random Commen with Id 37
38,11,7,41,1,Some Random Commen with Id 38
39,11,7,17,7,Some Random Commen with Id 39
40,11,7,27,0,Some Random Commen with Id 40
41,11,7,182,1,Some Random Commen with Id 41
42,12,1,103,3,Some Random Commen with Id 42
43,12,1,19,9,Some Random Commen with Id 43
44,13,0,18,8,Some Random Commen with Id 44
45,13,0,158,5,Some Random Commen with Id 45
46,13,0,194,6,Some Random Commen with Id 46
47,13,0,146,8,Some Random Commen with Id 47
48,13,0,18,5,Some Random Commen with Id 48
49,13,0,198,7,Some Random Commen with Id 49
50,13,0,183,2,Some Random Commen with Id 50
51,13,0,7,9,Some Random Commen with Id 51
52,13,0,24,5,Some Random Commen with Id 52
53,14,0,97,4,Some Random Commen with Id 53
54,15,7,10,4,Some Random Commen with Id 54
55,15,7,190,6,Some Random Commen with Id 55
56,15,7,164,9,Some Random Commen with Id 56
57,15,7,106,2,Some Random Commen with Id 57
58,16,5,12,4,Some Random Commen with Id 58
59,16,5,67,9,Some Random Commen with Id 59
60,16,5,87,7,Some Random Commen with Id 60
61,16,5,145,2,Some Random Commen with Id 61
62,16,5,30,5,Some Random Commen with Id 62
63,16,5,12,1,Some Random Commen with Id 63
64,16,5,18,9,Some Random Commen with Id 64
65,17,8,113,6,Some Random Commen with Id 65
66,17,8,153,2,Some Random Commen with Id 66
67,17,8,141,9,Some Random Commen with Id 67
68,17,8,128,6,Some Random Commen with Id 68
69,17,8,36,8,Some Random Commen with Id 69
70,17,8,163,5,Some Random Commen with Id 70
71,17,8,168,3,Some Random Commen with Id 71
72,17,8,194,3,Some Random Commen with Id 72
73,17,8,125,8,Some Random Commen with Id 73
74,18,5,74,4,Some Random Commen with Id 74
75,18,5,18,8,Some Random Commen with Id 75
76,18,5,158,7,Some Random Commen with Id 76
77,18,5,66,6,Some Random Commen with Id 77
78,18,5,193,1,Some Random Commen with Id 78
79,18,5,122,6,Some Random Commen with Id 79
80,19,8,14,7,Some Random Commen with Id 80
81,19,8,29,9,Some Random Commen with Id 81
82,19,8,89,6,Some Random Commen with Id 82
83,19,8,67,0,Some Random Commen with Id 83
84,19,8,141,0,Some Random Commen with Id 84
85,19,8,43,9,Some Random Commen with Id 85
86,20,1,165,3,Some Random Commen with Id 86
87,20,1,82,7,Some Random Commen with Id 87
88,21,4,56,5,Some Random Commen with Id 88
89,21,4,66,1,Some Random Commen with Id 89
90,22,1,53,5,Some Random Commen with Id 90
91,22,1,6,5,Some Random Commen with Id 91
92,22,1,47,9,Some Random Commen with Id 92
93,22,1,45,9,Some Random Commen with Id 93
94,22,1,42,0,Some Random Commen with Id 94
95,22,1,106,7,Some Random Commen with Id 95
96,22,1,121,4,Some Random Commen with Id 96
97,22,1,181,5,Some Random Commen with Id 97
98,22,1,71,3,Some Random Commen with Id 98
99,23,8,136,2,Some Random Commen with Id 99
100,23,8,97,1,Some Random Commen with Id 100
101,23,8,136,4,Some Random Commen with Id 101
102,23,8,49,9,Some Random Commen with Id 102
103,23,8,46,4,Some Random Commen with Id 103
104,24,4,173,2,Some Random Commen with Id 104
105,24,4,0,6,Some Random Commen with Id 105
106,24,4,23,6,Some Random Commen with Id 106
107,25,9,86,1,Some Random Commen with Id 107
108,25,9,79,9,Some Random Commen with Id 108
